BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
20:23:51:A6:25:CC, 2025-04-13 01:42:48, 2025-04-13 02:37:02,6,195, OPN, ,   ,-72,109,1,  10.  2. 97.192,10, Amity-wifi, 
2A:23:51:A6:2D:1A, 2025-04-13 01:41:44, 2025-04-13 02:37:04,1,195, WPA2, CCMP, PSK,-73,937,0,   0.  0.  0.  0,0, , 
4E:AE:30:56:31:50, 2025-04-13 01:57:05, 2025-04-13 02:36:58,6,195, OPN, ,   ,-72,96,0,   0.  0.  0.  0,11, Amity-event, 
D8:44:89:D5:03:F6, 2025-04-13 01:41:49, 2025-04-13 02:37:01,11,195, OPN, ,   ,-72,74,1366,  10.  2.115.164,10, Amity-wifi, 
DE:44:89:D4:FA:7E, 2025-04-13 01:41:44, 2025-04-13 02:37:04,1,195, OPN, ,   ,-79,292,0,   0.  0.  0.  0,11, Amity-Guest, 
DE:44:89:D5:03:F6, 2025-04-13 01:42:09, 2025-04-13 02:36:45,11,195, OPN, ,   ,-72,89,0,   0.  0.  0.  0,11, Amity-Guest, 
E6:44:89:D5:04:CE, 2025-04-13 01:41:57, 2025-04-13 02:37:04,1,195, OPN, ,   ,-66,737,0,   0.  0.  0.  0,11, Amity-event, 
2E:23:51:A6:2D:1A, 2025-04-13 01:41:43, 2025-04-13 02:37:04,1,195, OPN, ,   ,-71,969,0,   0.  0.  0.  0,11, Amity-event, 
2E:23:51:A6:25:84, 2025-04-13 01:41:49, 2025-04-13 02:36:43,6,195, OPN, ,   ,-71,381,0,   0.  0.  0.  0,11, Amity-event, 
2A:23:51:A6:25:CC, 2025-04-13 01:41:49, 2025-04-13 02:36:42,6,195, WPA2, CCMP, PSK,-71,122,0,   0.  0.  0.  0,0, , 
4A:AE:30:56:31:2C, 2025-04-13 01:41:43, 2025-04-13 02:37:00,1,195, WPA2, CCMP, PSK,-71,851,0,   0.  0.  0.  0,0, , 
40:AE:30:56:31:2C, 2025-04-13 01:41:44, 2025-04-13 02:37:02,1,195, OPN, ,   ,-69,808,0,   0.  0.  0.  0,10, Amity-wifi, 
20:23:51:A6:2D:1A, 2025-04-13 01:41:43, 2025-04-13 02:37:04,1,195, OPN, ,   ,-71,959,0,   0.  0.  0.  0,10, Amity-wifi, 
E2:44:89:D5:04:CE, 2025-04-13 01:41:50, 2025-04-13 02:37:03,1,195, WPA2, CCMP, PSK,-74,777,0,   0.  0.  0.  0,0, , 
2A:23:51:A6:25:84, 2025-04-13 01:42:03, 2025-04-13 02:36:43,6,195, WPA2, CCMP, PSK,-70,359,0,   0.  0.  0.  0,0, , 
DE:44:89:D5:04:CE, 2025-04-13 01:41:43, 2025-04-13 02:37:00,1,195, OPN, ,   ,-70,753,23,  10.  2.137.254,11, Amity-Guest, 
4E:AE:30:56:31:2C, 2025-04-13 01:41:50, 2025-04-13 02:37:02,1,195, OPN, ,   ,-60,865,0,   0.  0.  0.  0,11, Amity-event, 
DE:44:89:D4:FB:06, 2025-04-13 01:43:39, 2025-04-13 02:36:43,6,195, OPN, ,   ,-68,244,0,   0.  0.  0.  0,11, Amity-Guest, 
D8:44:89:D4:FC:0C, 2025-04-13 01:41:49, 2025-04-13 02:37:01,11,195, OPN, ,   ,-67,476,8859,  10.  2.100.141,10, Amity-wifi, 
DE:44:89:D4:FC:0C, 2025-04-13 01:41:49, 2025-04-13 02:36:59,11,195, OPN, ,   ,-67,483,0,   0.  0.  0.  0,11, Amity-Guest, 
E2:44:89:D4:FC:0C, 2025-04-13 01:42:24, 2025-04-13 02:36:58,11,195, WPA2, CCMP, PSK,-66,430,0,   0.  0.  0.  0,0, , 
E6:44:89:D4:FC:0C, 2025-04-13 01:41:55, 2025-04-13 02:37:01,11,195, OPN, ,   ,-66,454,0,   0.  0.  0.  0,11, Amity-event, 
26:23:51:A6:25:84, 2025-04-13 01:41:49, 2025-04-13 02:36:52,6,195, OPN, ,   ,-66,339,0,   0.  0.  0.  0,11, Amity-Guest, 
2E:23:51:A6:2A:10, 2025-04-13 01:41:56, 2025-04-13 02:37:00,6,195, OPN, ,   ,-65,426,0,   0.  0.  0.  0,11, Amity-event, 
E2:44:89:D5:03:EC, 2025-04-13 01:42:40, 2025-04-13 02:36:51,11,195, WPA2, CCMP, PSK,-64,168,0,   0.  0.  0.  0,0, , 
2A:23:51:A6:2A:10, 2025-04-13 01:41:43, 2025-04-13 02:37:02,6,195, WPA2, CCMP, PSK,-56,407,0,   0.  0.  0.  0,0, , 
D8:44:89:D4:FA:6C, 2025-04-13 01:41:43, 2025-04-13 02:37:02,6,195, OPN, ,   ,-65,1085,5895,  10.  2.127.254,10, Amity-wifi, 
E6:44:89:D4:FA:6C, 2025-04-13 01:41:45, 2025-04-13 02:37:02,6,195, OPN, ,   ,-62,1086,0,   0.  0.  0.  0,11, Amity-event, 
